GEOID,tpopr,nhwhite,nhblk,nhasn,hisp,pblk,pwht,pasn,phisp,NAME,nhwhitec,nhasnc,nhblkc,hispc,tpopc,pwhtc,pasnc,pblkc,phispc
26163500300,3137,191,2761,82,36,0.8801402613962385,0.06088619700350654,0.02613962384443736,0.011475932419509085,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163500400,1664,60,1542,1,23,0.9266826923076923,0.036057692307692304,6.009615384615385e-4,0.013822115384615384,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163500500,2205,50,2103,5,13,0.9537414965986395,0.022675736961451247,0.0022675736961451248,0.0058956916099773245,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163500600,3714,135,3440,23,20,0.9262250942380184,0.036348949919224556,0.006192784060312331,0.005385029617662897,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163500700,4391,331,3892,5,43,0.8863584604873606,0.0753814620815304,0.0011386927806877705,0.009792757913914825,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163500800,2485,261,2164,13,21,0.8708249496981891,0.10503018108651911,0.005231388329979879,0.008450704225352112,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163500900,4035,125,3779,16,43,0.9365551425030979,0.030978934324659233,0.003965303593556382,0.010656753407682776,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163501000,3499,80,3313,4,30,0.9468419548442412,0.02286367533581023,0.0011431837667905116,0.008573878250928837,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163501100,3762,102,3596,1,17,0.9558745348219032,0.02711323763955343,2.658160552897395e-4,0.004518872939925572,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163501200,1963,51,1887,0,4,0.9612837493632196,0.02598064187468161,0,0.0020376974019358125,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163501300,3836,87,3649,0,14,0.9512513034410844,0.02267987486965589,0,0.0036496350364963502,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163501400,3895,286,3471,7,47,0.8911424903722721,0.07342747111681643,0.001797175866495507,0.012066752246469832,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163501500,4095,522,3437,31,34,0.8393162393162393,0.12747252747252746,0.00757020757020757,0.008302808302808303,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163503100,3081,163,2836,28,20,0.9204803635183382,0.05290490100616683,0.009087958455047063,0.006491398896462187,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163503200,3817,201,3462,26,37,0.9069950222687975,0.0526591564055541,0.006811632171862719,0.009693476552266178,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163503300,4302,144,4015,55,16,0.9332868433286843,0.03347280334728033,0.012784751278475127,0.003719200371920037,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163503400,1557,72,1270,163,21,0.8156711624919717,0.046242774566473986,0.10468850353243417,0.01348747591522158,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163503500,3936,107,3613,116,28,0.9179369918699187,0.027184959349593495,0.029471544715447155,0.007113821138211382,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163503600,1939,93,1631,163,11,0.8411552346570397,0.0479628674574523,0.08406395048994326,0.005673027333677153,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163503900,2250,36,2172,2,6,0.9653333333333334,0.016,8.888888888888889e-4,0.0026666666666666666,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163504000,1483,35,1412,1,7,0.952124072825354,0.023600809170600135,6.743088334457181e-4,0.004720161834120027,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163504100,1748,36,1655,1,13,0.9467963386727689,0.020594965675057208,5.720823798627002e-4,0.007437070938215103,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163504200,2426,17,2356,0,12,0.9711459192085737,0.007007419620774938,0,0.00494641384995878,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163504300,2695,66,2548,9,17,0.9454545454545454,0.024489795918367346,0.003339517625231911,0.006307977736549165,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163504400,1999,28,1945,2,5,0.9729864932466233,0.014007003501750876,0.0010005002501250625,0.0025012506253126563,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163504700,2097,26,2033,2,9,0.9694802098235574,0.01239866475917978,9.537434430138292e-4,0.004291845493562232,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163504800,793,42,736,0,7,0.9281210592686002,0.05296343001261034,0,0.008827238335435058,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163504900,3495,109,3313,4,21,0.9479256080114449,0.03118741058655222,0.0011444921316165952,0.006008583690987125,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163505000,1263,40,1198,1,5,0.948535233570863,0.03167062549485352,7.91765637371338e-4,0.00395882818685669,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163505200,3348,80,3192,1,16,0.953405017921147,0.023894862604540025,2.986857825567503e-4,0.0047789725209080045,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163505400,3001,91,2765,65,29,0.9213595468177275,0.03032322559146951,0.02165944685104965,0.009663445518160613,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163505500,1472,85,1340,1,13,0.9103260869565217,0.057744565217391304,6.793478260869565e-4,0.008831521739130434,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163506100,1921,113,1723,23,10,0.8969286829776159,0.058823529411764705,0.011972930765226444,0.0052056220718375845,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163506200,2285,85,2137,1,25,0.9352297592997811,0.037199124726477024,4.37636761487965e-4,0.010940919037199124,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163506300,2352,88,2182,8,18,0.9277210884353742,0.03741496598639456,0.003401360544217687,0.007653061224489796,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163506400,3095,626,2287,8,132,0.7389337641357028,0.20226171243941843,0.002584814216478191,0.042649434571890146,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163506500,2256,50,2115,3,36,0.9375,0.022163120567375887,0.0013297872340425532,0.015957446808510637,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163506600,3240,104,3044,1,30,0.9395061728395062,0.03209876543209877,3.0864197530864197e-4,0.009259259259259259,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163506900,3818,117,3584,4,35,0.9387113672079623,0.030644316396018858,0.0010476689366160294,0.009167103195390257,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163507000,2948,29,2819,3,32,0.9562415196743554,0.00983717774762551,0.0010176390773405698,0.010854816824966078,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163507100,2617,26,2528,3,24,0.9659915934275889,0.009935040122277417,0.0011463507833397019,0.009170806266717615,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163507200,1434,16,1381,1,13,0.9630404463040446,0.011157601115760111,6.97350069735007e-4,0.00906555090655509,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163507300,2814,30,2706,5,21,0.9616204690831557,0.010660980810234541,0.0017768301350390902,0.007462686567164179,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163507400,3153,51,3035,4,18,0.9625753250872185,0.016175071360608945,0.0012686330478908975,0.005708848715509039,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163507800,772,63,689,0,5,0.8924870466321243,0.08160621761658031,0,0.006476683937823834,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163507900,2200,263,1764,22,69,0.8018181818181818,0.11954545454545455,0.01,0.031363636363636364,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163508000,1343,260,1028,2,15,0.7654504839910647,0.193596425912137,0.0014892032762472078,0.011169024571854059,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163510700,1888,1137,527,68,10,0.2791313559322034,0.6022245762711864,0.036016949152542374,0.005296610169491525,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163511000,1971,86,1780,30,35,0.9030948756976154,0.04363267376966007,0.015220700152207,0.017757483510908167,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163511200,1442,14,1360,7,9,0.9431345353675451,0.009708737864077669,0.0048543689320388345,0.0062413314840499305,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163511300,2510,534,1826,37,18,0.7274900398406374,0.21274900398406374,0.014741035856573706,0.007171314741035857,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163511900,1462,60,1326,9,10,0.9069767441860465,0.04103967168262654,0.006155950752393981,0.006839945280437756,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163512100,3532,60,3365,7,23,0.952718006795017,0.01698754246885617,0.0019818799546998866,0.0065118912797281995,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163512200,1321,15,1282,1,6,0.9704769114307343,0.011355034065102196,7.57002271006813e-4,0.004542013626040878,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163512300,1677,28,1564,13,14,0.9326177698270721,0.016696481812760882,0.007751937984496124,0.008348240906380441,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163512400,1481,22,1427,0,17,0.9635381498987171,0.014854827819041188,0,0.011478730587440918,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163513600,1469,64,1377,0,7,0.9373723621511232,0.043567052416609936,0,0.004765146358066712,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163513700,3256,51,3109,16,10,0.9548525798525799,0.015663390663390665,0.004914004914004914,0.003071253071253071,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163513900,2235,26,2154,1,13,0.963758389261745,0.011633109619686801,4.4742729306487697e-4,0.0058165548098434005,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163514100,3486,52,3339,4,22,0.95783132530120485,0.01491681009753299,0.0011474469305794606,0.006310958118187034,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163514200,2726,15,2651,1,16,0.9724871606749816,0.005502567865003668,3.6683785766691124e-4,0.00586940572267058,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163514300,3075,63,2956,1,24,0.9613008130081301,0.02048780487804878,3.252032520325203e-4,0.007804878048780488,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163514500,1416,18,1367,7,9,0.9653954802259888,0.012711864406779662,0.0049435028248587575,0.006355932203389831,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163515200,2032,116,1865,4,13,0.9178149606299213,0.05708661417322835,0.001968503937007874,0.0063976377952755905,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163515300,3117,198,2814,14,32,0.9027911453320501,0.06352261790182868,0.004491498235482836,0.010266281681103625,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163515400,1344,426,826,7,24,0.6145833333333334,0.3169642857142857,0.005208333333333333,0.017857142857142856,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163515600,1385,31,1305,0,10,0.9422382671480144,0.022382671480144403,0,0.007220216606498195,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163515700,3295,380,2765,24,31,0.8391502276176024,0.11532625189681335,0.007283763277693475,0.009408194233687404,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163515900,1643,34,1587,0,6,0.9659160073037127,0.020693852708460133,0,0.0036518563603164943,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163516000,3052,66,2906,1,16,0.9521625163826999,0.02162516382699869,3.27653997378768e-4,0.005242463958060288,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163516100,734,11,706,2,2,0.9618528610354223,0.014986376021798364,0.0027247956403269754,0.0027247956403269754,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163516200,774,20,739,0,5,0.9547803617571059,0.025839793281653745,0,0.006459948320413436,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163516300,890,51,821,2,6,0.9224719101123595,0.05730337078651685,0.0022471910112359553,0.006741573033707865,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163516400,1095,83,969,7,12,0.8849315068493151,0.07579908675799087,0.006392694063926941,0.010958904109589041,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163516600,2058,13,1963,1,16,0.9538386783284742,0.006316812439261419,4.8590864917395527e-4,0.007774538386783284,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163516700,2977,30,2849,9,15,0.9570036949949614,0.010077258985555929,0.0030231776956667787,0.0050386294927779645,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163516800,1041,31,961,0,15,0.9231508165225745,0.029779058597502402,0,0.01440922190201729,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163516900,1991,92,1836,2,15,0.922149673530889,0.046207935710698145,0.0010045203415369162,0.007533902561526871,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163517000,2360,568,1620,86,38,0.6864406779661016,0.24067796610169492,0.036440677966101696,0.016101694915254237,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163517100,1062,106,909,8,18,0.8559322033898306,0.09981167608286252,0.007532956685499058,0.01694915254237288,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163517300,1943,289,1557,21,23,0.8013381369016984,0.1487390633041688,0.01080802882141019,0.011837364899639732,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
26163517500,2192,225,1778,96,25,0.8111313868613139,0.10264598540145986,0.043795620437956206,0.011405109489051095,Detroit,40806,3434,506977,39349,603346,0.06763283422778969,0.005691593215170068,0.8402757290178439,0.06521796779957106
